read_code,icd9_code,icd9_code_def
AB52.,1162,1
AB5z.,116,1
AB6..,117,1
AB60.,1170,1
AB61.,1171,1
AB610,1171,1
AB611,1171,1
AB612,1171,1
AB613,1171,1
AB614,1171,1
AB61z,1171,1
AB62.,1172,1
AB620,1172,1
AB621,1178,1
AB622,1178,1
AB62X,1172,1
AB63.,1173,1
AB630,1173D 4846A,7
AB631,1173,1
AB632,1173,1
AB634,1173,1
AB63X,1173,1
AB64.,1174,1
AB640,0399,1
AB65.,1175,1
AB650,1175,1
AB651,1175,1
AB652,1175D 3210A,7
AB653,1175,1
AB654,1175,1
AB655,1175,1
AB656,1175,1
AB65z,1175,1
AB66.,1176,1
AB67.,1177,1
AB670,1177,1
AB671,1177,1
AB672,1177,1
AB673,1177,1
AB674,1177,1
AB67X,1177,1
AB68.,1178,1
AB69.,1179,1
AB6A.,1173,1
AB6z.,1179,1
AB7..,118,1
ABy..,110-118,2
ABz..,110-118,2
