read_code,icd10_code,mapping_status,refine_flag,add_code_flag,element_num,block_num
182A.,I20,R,M,C,0,0
182B0,R073,G,C,C,0,0
182Z.,R074,D,C,C,0,0
182Z.,R07,A,M,C,0,0
182Z.,I20,R,M,C,0,0
1834.,M798,G,C,C,0,0
183Z.,R609,D,C,C,0,0
183Z.,R60,A,M,C,0,0
1842.,I878,G,C,C,0,0
1843.,I878,G,C,C,0,0
1844.,I878,G,C,C,0,0
186..,R208,G,C,C,0,0
1860.,R208,G,C,C,0,0
1861.,R208,G,C,C,0,0
1912.,K088,G,C,C,0,0
1922.,K137,E,C,C,0,0
1923.,K137,G,C,C,0,0
1927.,R682,D,C,C,0,0
1927.,E86X,R,C,C,0,0
1927.,K117,R,C,C,0,0
1927.,M350,R,C,C,0,0
1942.,R13X,G,C,C,0,0
1943.,R13X,G,C,C,0,0
1944.,R13X,G,C,C,0,0
195..,K30X,D,C,C,0,0
195..,F453,R,C,C,0,0
1953.,R12X,D,C,C,0,0
1953.,K30X,R,C,C,0,0
1954.,K30X,G,C,C,0,0
1955.,R12X,D,C,C,0,0
1955.,K30X,R,C,C,0,0
1956.,K30X,G,C,C,0,0
195Z.,K30X,D,C,C,0,0
195Z.,F453,R,C,C,0,0
1962.,R104,D,C,C,0,0
1962.,F453,R,C,C,0,0
1962.,N23X,R,C,C,0,0
1963.,R104,D,C,C,0,0
1963.,R10,A,M,C,0,0
1965.,K805,E,C,C,0,0
1966.,R104,G,C,C,0,0
1967.,G438,G,C,C,0,0
1968.,R198,G,C,C,0,0
1969.,R104,D,C,C,0,0
1969.,R10,A,M,C,0,0
19690,R104,D,C,C,0,0
19690,R10,A,M,C,0,0
196A.,R198,G,C,C,0,0
1971.,R104,G,C,C,0,0
1972.,R101,G,C,C,0,0
1973.,R101,G,C,C,0,0
1974.,R101,G,C,C,0,0
1975.,R104,G,C,C,0,0
1976.,R104,G,C,C,0,0
1977.,R103,G,C,C,0,0
1978.,R103,G,C,C,0,0
1979.,R103,G,C,C,0,0
197A.,R104,D,C,C,0,0
197A.,R100,A,C,C,0,0
197B.,R101,G,C,C,0,0
197C.,R103,D,C,C,0,0
197C.,R102,A,C,C,0,0
1982.,R11X,E,C,C,0,0
1984.,K30X,G,C,C,0,0
198Z.,R11X,D,C,C,0,0
198Z.,A081,R,C,C,0,0
198Z.,F453,R,C,C,0,0
198Z.,O21,R,M,C,0,0
198Z.,P018,R,C,P,0,0
198Z.,T753,R,C,P,0,0
1993.,R11X,G,C,P,0,0
1995.,K920,G,C,C,0,0
1996.,R11X,G,C,C,0,0
199Z.,R11X,G,C,C,0,0
19A..,R14X,D,C,C,0,0
19A..,F453,R,C,C,0,0
19AZ.,R14X,D,C,C,0,0
19AZ.,F453,R,C,C,0,0
19B2.,R14X,D,C,C,0,0
19B2.,F453,R,C,C,0,0
19B3.,R14X,G,C,C,0,0
19B5.,R14X,D,C,C,0,0
19B5.,F453,R,C,C,0,0
19D2.,R198,D,C,C,0,0
19D2.,R301,R,C,C,0,0
19DZ.,R198,D,C,C,0,0
19DZ.,R301,R,C,C,0,0
19EA.,R194,D,C,C,0,0
19EA.,K590,R,C,C,0,0
19EA.,K591,R,C,C,0,0
19F2.,A099,D,C,C,0,0
19F2.,A09,A,M,C,0,0
19F2.,B780,R,C,C,0,0
19F2.,F453,R,C,C,0,0
19F2.,K318,R,C,C,0,0
19F2.,K52,R,M,C,0,0
19F2.,K591,R,C,C,0,0
19F2.,K901,R,C,C,0,0
19F2.,K918,R,C,C,0,0
19F2.,P783,R,C,C,0,0
19F3.,R15X,G,C,C,0,0
1A12.,R35X,D,C,C,0,0
1A12.,F453,R,C,C,0,0
1A13.,R35X,D,C,C,0,0
1A13.,R453,R,C,C,0,0
1A22.,R32X,D,C,C,0,0
1A22.,F980,R,C,C,0,0
1A23.,R32X,D,C,C,0,0
1A23.,F980,R,C,C,0,0
1A23.,N393,R,C,C,0,0
1A23.,N394,R,C,C,0,0
1A25.,R398,G,C,C,0,0
1A26.,N394,G,C,C,0,0
1A33.,R391,E,C,C,0,0
1A34.,R391,G,C,C,0,0
1A36.,R391,G,C,C,0,0
1A42.,R829,G,C,C,0,0
1A44.,R829,G,C,C,0,0
1A5..,R102,G,C,C,0,0
1A55.,R300,D,C,C,0,0
1A55.,R30,A,M,C,0,0
1A55.,F453,R,C,C,0,0
1A56.,R300,G,C,C,0,0
1A57.,N508,D,C,C,0,0
1A57.,F454,R,C,C,0,0
1A58.,N948,D,C,C,0,0
1A58.,F454,R,C,C,0,0
1A581,N948,G,C,C,0,0
1A5D.,R398,G,C,C,0,0
1A6..,R36X,G,C,C,0,0
1A62.,R36X,G,C,C,0,0
1A6Z.,R36X,G,C,C,0,0
1A7..,N898,G,C,C,0,0
1A72.,N898,G,C,C,0,0
1A7Z.,N898,G,C,C,0,0
1A8..,N63X,G,C,C,0,0
1A82.,N63X,G,C,C,0,0
1A8Z.,N63X,G,C,C,0,0
1A9..,N645,G,C,C,0,0
1A92.,N645,G,C,C,0,0
1A9Z.,N645,G,C,C,0,0
